tool,supervisor_pre,campaign_post_after_reaudit,campaigns,downgrade_reason
mt_account_balance,partial_or_failed_live_path,partial_or_failed_live_path,,
mt_account_executions,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_account_info,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_account_orders,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_account_positions,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_account_summary,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_alerts_delete,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_alerts_history,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_alerts_history_subscribe,no_live_evidence,validated_real_response,C,
mt_alerts_history_unsubscribe,no_live_evidence,validated_real_response,C,
mt_alerts_list,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_alerts_save,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_alerts_set_running,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_alerts_subscribe,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_alerts_unsubscribe,no_live_evidence,validated_real_response,C,
mt_algos_batch_config,no_live_evidence,validated_real_response,D,
mt_algos_batch_start,no_live_evidence,validated_real_response,D,
mt_algos_batch_stop,no_live_evidence,validated_real_response,D,
mt_algos_bulk_edit,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_algos_clone_group,no_live_evidence,validated_real_response,D,
mt_algos_config,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_algos_config_set,no_live_evidence,validated_real_response,D,
mt_algos_copy,no_live_evidence,partial_or_failed_live_path,D,'destination local-hyperliquid-bench not connected' pre-flight; copy did not occur
mt_algos_copy_to_clipboard,partial_or_failed_live_path,partial_or_failed_live_path,,
mt_algos_create,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_algos_delete,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_algos_delete_group,no_live_evidence,documented_blocker,D,
mt_algos_export,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_algos_get,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_algos_group,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_algos_group_by_name,no_live_evidence,validated_real_response,D,
mt_algos_groups,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_algos_import_json,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_algos_list,partial_or_failed_live_path,partial_or_failed_live_path,,
mt_algos_list_all,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_algos_paste_from_clipboard,partial_or_failed_live_path,partial_or_failed_live_path,,
mt_algos_profiling,no_live_evidence,validated_real_response,D,
mt_algos_rename,no_live_evidence,validated_real_response,D,
mt_algos_save,no_live_evidence,validated_real_response,D,
mt_algos_save_start,no_live_evidence,validated_real_response,D,
mt_algos_search,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_algos_snapshot,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_algos_start,no_live_evidence,validated_real_response,D,
mt_algos_start_all,no_live_evidence,validated_real_response,D,
mt_algos_start_verified,no_live_evidence,validated_real_response,D,
mt_algos_stop,no_live_evidence,validated_real_response,D,
mt_algos_stop_all,no_live_evidence,validated_real_response,D,
mt_algos_toggle_debug,no_live_evidence,validated_real_response,D,
mt_algos_tpsl_change,no_live_evidence,validated_real_response,D,
mt_algos_verify,failed_live_path,failed_live_path,,
mt_autobuy_delete,no_live_evidence,validated_real_response,I,
mt_autobuy_list,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_autobuy_refresh_pairs,no_live_evidence,validated_real_response,I,
mt_autobuy_save,no_live_evidence,validated_real_response,I,
mt_autobuy_start,no_live_evidence,validated_real_response,I,
mt_autobuy_stop,no_live_evidence,validated_real_response,I,
mt_autobuy_subscribe,no_live_evidence,validated_real_response,C,
mt_autobuy_unsubscribe,no_live_evidence,validated_real_response,C,
mt_autostops_add,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_autostops_baseline,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_autostops_delete,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_autostops_edit,no_live_evidence,validated_real_response,J,
mt_autostops_list,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_autostops_reports,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_autostops_start,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_autostops_stop,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_blacklist_add,no_live_evidence,validated_real_response,J,
mt_blacklist_list,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_blacklist_remove,no_live_evidence,validated_real_response,J,
mt_buylimit_request,no_live_evidence,validated_real_response,J,
mt_config_import_algos,no_live_evidence,validated_real_response,J,
mt_config_restore,no_live_evidence,validated_real_response,J,
mt_config_snapshot,no_live_evidence,validated_real_response,J,
mt_connect,partial_or_failed_live_path,partial_or_failed_live_path,,
mt_connection_health,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_connection_tag,no_live_evidence,validated_real_response,B,
mt_connection_tags,no_live_evidence,validated_real_response,B,
mt_core_clear_archive,no_live_evidence,documented_blocker,J,
mt_core_clear_orders,no_live_evidence,documented_blocker,J,
mt_core_dashboard,yes_real_response_or_activity,yes_real_response_or_activity,,
